01001,17,20,0.85
01003,21,21,1.0
01005,19,20,0.95
01007,19,19,1.0
01009,18,20,0.9
01011,17,19,0.8947368421052632
01013,18,20,0.9
01015,18,20,0.9
01017,17,20,0.85
01019,16,19,0.8421052631578947
01021,14,20,0.7
01023,7,19,0.3684210526315789
01025,20,20,1.0
01027,15,19,0.7894736842105263
01029,16,19,0.8421052631578947
01031,19,20,0.95
01033,20,20,1.0
01035,15,19,0.7894736842105263
01037,15,19,0.7894736842105263
01039,16,20,0.8
01041,18,19,0.9473684210526315
01043,19,20,0.95
01045,19,20,0.95
01047,16,20,0.8
01049,18,20,0.9
01051,19,20,0.95
01053,20,20,1.0
01055,20,20,1.0
01057,17,19,0.8947368421052632
01059,17,20,0.85
01061,18,20,0.9
01063,19,19,1.0
01065,19,19,1.0
01067,19,19,1.0
01069,20,20,1.0
01071,16,20,0.8
01073,21,22,0.9545454545454546
01075,16,19,0.8421052631578947
01077,20,20,1.0
01079,19,20,0.95
01081,22,22,1.0
01083,20,20,1.0
01085,16,19,0.8421052631578947
01087,17,19,0.8947368421052632
01089,21,22,0.9545454545454546
01091,20,20,1.0
01093,20,20,1.0
01095,19,21,0.9047619047619048
01097,21,22,0.9545454545454546
01099,19,19,1.0
01101,20,22,0.9090909090909091
01103,19,20,0.95
01105,18,19,0.9473684210526315
01107,19,20,0.95
01109,17,20,0.85
01111,13,19,0.6842105263157895
01113,16,20,0.8
01115,20,20,1.0
01117,22,22,1.0
01119,18,19,0.9473684210526315
01121,17,20,0.85
01123,17,20,0.85
01125,22,22,1.0
01127,17,20,0.85
01129,17,19,0.8947368421052632
01131,17,19,0.8947368421052632
01133,18,20,0.9
02013,10,17,0.5882352941176471
02016,15,18,0.8333333333333334
02020,18,21,0.8571428571428571
02050,14,18,0.7777777777777778
02060,12,15,0.8
02068,10,18,0.5555555555555556
02070,8,18,0.4444444444444444
02090,19,19,1.0
02100,9,17,0.5294117647058824
02110,17,17,1.0
02122,19,19,1.0
02130,9,17,0.5294117647058824
02150,18,18,1.0
02164,16,17,0.9411764705882353
02170,14,19,0.7368421052631579
02180,14,18,0.7777777777777778
02185,17,18,0.9444444444444444
02188,12,18,0.6666666666666666
02201,,,
02220,15,17,0.8823529411764706
02232,,,
02240,17,18,0.9444444444444444
02261,17,18,0.9444444444444444
02270,,,
02280,,,
02282,2,17,0.11764705882352941
02290,17,18,0.9444444444444444
04001,17,20,0.85
04003,20,20,1.0
04005,18,22,0.8181818181818182
04007,20,20,1.0
04009,17,20,0.85
04011,17,19,0.8947368421052632
04012,19,19,1.0
04013,22,22,1.0
04015,21,21,1.0
04017,19,21,0.9047619047619048
04019,22,22,1.0
04021,22,22,1.0
04023,20,20,1.0
04025,20,21,0.9523809523809523
04027,20,21,0.9523809523809523
05001,16,19,0.8421052631578947
05003,15,19,0.7894736842105263
05005,16,19,0.8421052631578947
05007,20,22,0.9090909090909091
05009,15,20,0.75
05011,19,19,1.0
05013,18,19,0.9473684210526315
05015,20,20,1.0
05017,16,20,0.8
05019,18,19,0.9473684210526315
05021,16,19,0.8421052631578947
05023,20,20,1.0
05025,18,19,0.9473684210526315
